Term,Definition,L1_Category,L2_Subcategory,Resource_Type,Priority
SPI (Schedule Performance Index),EV/PV; schedule efficiency; greater than 1 is ahead,PM,Project,Metric,Core
SV (Schedule Variance),EV minus PV; positive indicates ahead of schedule,PM,Project,Metric,Core
Tailoring,Adapting project approach and processes to project context,PM,Project,Practice,Core
TCPI (To-Complete Perf Index),Efficiency required to meet BAC or EAC target,PM,Project,Metric,Advanced
VAC (Variance at Completion),BAC minus EAC; projected cost over or under at completion,PM,Project,Metric,Core
Work Package,Lowest-level WBS component deliverable assigned to single owner,PM,Project,Concept,Core
Acceptance Criteria,Conditions that must be met for story to be considered complete,PM,Agile,Concept,Core
Agile,Iterative incremental development methodology,PM,Agile,Framework,Core
Daily Standup,Brief daily team synchronization meeting,PM,Agile,Process,Core
Epic,Large body of work that can be broken down into smaller stories,PM,Agile,Concept,Core
Increment,Potentially releasable product at the end of each sprint,PM,Agile,Concept,Core
Kanban,Visual workflow management method using boards and WIP limits,PM,Agile,Framework,Core
PRINCE2,Process-based project management methodology,PM,Project,Framework,Advanced
Product Manager,Role responsible for product strategy roadmap and feature prioritization,PM,Product,Role,Core
Product Owner,Scrum role owning product backlog prioritizing work defining acceptance,PM,Agile,Role,Core
SAFe (Scaled Agile Framework),Framework for scaling Agile to enterprise,PM,Agile,Framework,Advanced
Scrum,Agile framework with sprints roles (PO SM Dev) and ceremonies,PM,Agile,Framework,Core
Scrum Master,Facilitator ensuring Scrum practices are followed; removes impediments,PM,Agile,Role,Core
SDLC (Software Development Life Cycle),Phases of software development from planning to maintenance,SOFTWARE,Architecture,Framework,Core
Spike,Time-boxed research task to reduce uncertainty or explore solutions,PM,Agile,Concept,Advanced
Sprint,Time-boxed iteration in Agile development (typically 2 weeks),PM,Agile,Concept,Core
Sprint Planning,Meeting to plan work for upcoming sprint,PM,Agile,Process,Core
Sprint Retrospective,Meeting to reflect on team process and improve,PM,Agile,Process,Core
Sprint Review,Meeting to demonstrate completed work to stakeholders,PM,Agile,Process,Core
Story Points,Relative estimation unit for story complexity,PM,Agile,Concept,Core
User Story,Short description of feature from user perspective,PM,Agile,Concept,Core
Velocity,Measure of work completed per sprint,PM,Agile,Metric,Core
Waterfall,Sequential project management methodology,PM,Project,Framework,Advanced
WIP (Work in Progress),Number of items currently being worked on; limiting WIP improves flow,PM,Agile,Concept,Core
Dual-Track Agile,Parallel discovery track (validate) and delivery track (build) working simultaneously,PM,Agile,Framework,Core
Product Backlog,Ordered list of product work items; owned by Product Owner; feeds sprint backlog,PM,Agile,Concept,Core
Release Management,Planning and controlling product releases to users and environments,PM,Agile,Practice,Core
Allocation,Distribution of costs to departments projects or cost centers,BUSINESS,Finance,Practice,Advanced
Baseline,Approved plan used as reference for performance measurement,BUSINESS,Metrics,Concept,Advanced
Budget,Financial plan allocating resources for specific period or project,BUSINESS,Finance,Concept,Core
Business Case,Justification for a project including costs benefits and risks,BUSINESS,Finance,Process,Core
CapEx (Capital Expenditure),One-time investment in assets (hardware infrastructure),BUSINESS,Finance,Concept,Core
Chargeback,Allocating IT costs to business units based on actual usage,BUSINESS,Finance,Practice,Advanced
Cost Center,Organizational unit that incurs costs but doesn't generate revenue,BUSINESS,Finance,Concept,Advanced
Cost Variance (CV),Difference between earned value and actual cost (CV = EV - AC),BUSINESS,Metrics,Metric,Advanced
Depreciation,Accounting method allocating asset cost over useful life,BUSINESS,Finance,Practice,Advanced
EAC (Estimate At Completion),Projected total cost at project completion,BUSINESS,Metrics,Metric,Advanced
ETC (Estimate To Complete),Projected cost to complete remaining work,BUSINESS,Metrics,Metric,Advanced
FinOps,Financial operations practice optimizing cloud spending,BUSINESS,Finance,Practice,Advanced
KPI (Key Performance Indicator),Measurable value demonstrating effectiveness,BUSINESS,Metrics,Metric,Core
MSA (Master Service Agreement),Framework agreement governing multiple projects,BUSINESS,Contracts,Concept,Advanced
NPV (Net Present Value),Present value of future cash flows minus initial investment,BUSINESS,Finance,Metric,Advanced
OpEx (Operational Expenditure),Ongoing operational costs (cloud services licenses),BUSINESS,Finance,Concept,Core
Profit Center,Organizational unit that generates revenue and profit,BUSINESS,Finance,Concept,Advanced
RFP (Request for Proposal),Document soliciting vendor proposals,BUSINESS,Contracts,Process,Advanced
RFQ (Request for Quote),Document requesting pricing information,BUSINESS,Contracts,Process,Advanced
ROI (Return on Investment),Measure of profitability: (gain - cost) / cost,BUSINESS,Metrics,Metric,Core
Showback,Reporting IT costs to business units without actual charge,BUSINESS,Finance,Practice,Advanced
SLA (Service Level Agreement),Contractual commitment to service level,BUSINESS,Contracts,Concept,Core
SLI (Service Level Indicator),Measurable aspect of service performance,BUSINESS,Metrics,Metric,Advanced
SLO (Service Level Objective),Internal target for service reliability/performance,BUSINESS,Metrics,Metric,Core
SOW (Statement of Work),Detailed description of work to be performed,BUSINESS,Contracts,Concept,Core
TCO (Total Cost of Ownership),Total cost including acquisition operation maintenance,BUSINESS,Metrics,Metric,Core
OLAP (Online Analytical Processing),Technology for complex analytical queries on multidimensional data,DATA,BI,Technology,Core
OLTP (Online Transaction Processing),Systems optimized for high-volume transactional operations,DATA,Architecture,Concept,Core
Snowflake Schema,Normalized star schema with dimension tables split into sub-dimensions,DATA,Architecture,Pattern,Advanced
Fact Table,Central warehouse table containing measurable quantitative business events,DATA,BI,Concept,Core
Dimension Table,Descriptive attributes used for filtering and grouping facts,DATA,BI,Concept,Core
Conformed Dimension,Dimension shared consistently across multiple fact tables or data marts,DATA,BI,Concept,Advanced
Surrogate Key,System-generated synthetic key replacing natural business key in warehouse,DATA,BI,Concept,Core
Natural Key,Business identifier from source system used before surrogate key assignment,DATA,BI,Concept,Advanced
SCD (Slowly Changing Dimension),Techniques for tracking historical changes in dimension attributes (Type 1/2/3),DATA,BI,Pattern,Core
Grain,Level of detail or granularity stored in a fact table (one row = one what),DATA,BI,Concept,Core
Data Mart,Subject-specific subset of data warehouse for departmental analysis,DATA,Architecture,Concept,Core
ODS (Operational Data Store),Staging area holding current operational data before warehouse load,DATA,Architecture,Concept,Advanced
Aggregate Table,Pre-computed summary table improving query performance on large fact tables,DATA,BI,Concept,Advanced
Degenerate Dimension,Dimension key stored directly in fact table without separate dimension table,DATA,BI,Concept,Advanced
Junk Dimension,Single dimension consolidating miscellaneous low-cardinality flags and indicators,DATA,BI,Pattern,Advanced
Bridge Table,Intermediate table resolving many-to-many relationships in dimensional models,DATA,BI,Pattern,Advanced
Cardinality,Number of unique values in a column; relationship type (1:1 1:M M:M),DATA,BI,Concept,Advanced
Role-Playing Dimension,Single dimension used multiple times in same fact table (e.g. OrderDate ShipDate),DATA,BI,Pattern,Advanced
Measure,Numeric value aggregated from fact table data (sum avg count),DATA,BI,Concept,Core
Hierarchy,Parent-child relationships within a dimension enabling drill navigation,DATA,BI,Concept,Core
Drill-down,Navigation from summary level to more detailed data in a hierarchy,DATA,BI,Concept,Core
Roll-up,Aggregation from detailed data to summary level in a hierarchy,DATA,BI,Concept,Core
Slice,Filtering multidimensional data by fixing one dimension to single value,DATA,BI,Concept,Core
Dice,Filtering multidimensional data by selecting ranges across multiple dimensions,DATA,BI,Concept,Core
Pivot,Rotating data axes to view measures by different dimension combinations,DATA,BI,Concept,Core
Cube,Multidimensional data structure enabling OLAP analysis across dimensions,DATA,BI,Concept,Advanced
Semantic Layer,Business-friendly abstraction layer mapping technical data to business terms,DATA,BI,Concept,Core
Semantic Model,Logical model defining relationships measures and hierarchies for BI consumption,DATA,BI,Concept,Core
Self-Service BI,Enabling business users to create reports and perform analysis without IT,DATA,BI,Practice,Core
Ad-hoc Query,User-created query for specific one-time analysis needs,DATA,BI,Concept,Advanced
Data Virtualization,Querying and combining data across sources without physical movement,DATA,Architecture,Technology,Advanced
DAX (Data Analysis Expressions),Formula language for calculations in Power BI Analysis Services and Power Pivot,DATA,BI,Technology,Core-N
DirectQuery,BI mode querying source system in real-time without importing data,DATA,BI,Technology,Core-N
Import Mode,BI mode loading data into compressed in-memory storage for fast queries,DATA,BI,Technology,Core-N
Composite Model,Power BI model combining Import and DirectQuery tables in single model,DATA,BI,Technology,Advanced-N
Calculated Column,Column computed during data refresh; stored in model; uses row context,DATA,BI,Concept,Core-N
Calculated Measure,Dynamic calculation evaluated at query time based on filter context,DATA,BI,Concept,Core-N
Filter Context,Set of active filters affecting DAX measure calculations,DATA,BI,Concept,Core-N
Row Context,Current row reference during DAX iteration or calculated column evaluation,DATA,BI,Concept,Core-N
Tabular Model,Columnar in-memory analytical model using VertiPaq compression,DATA,BI,Technology,Advanced-N
VertiPaq,High-performance columnar compression engine for in-memory analytics,DATA,BI,Technology,Advanced-N
Additive Measure,Measure that can be summed across all dimensions (e.g. Sales Amount),DATA,BI,Concept,Advanced
Semi-Additive Measure,Measure summed across some dimensions but not time (e.g. Account Balance),DATA,BI,Concept,Advanced
Non-Additive Measure,Measure that cannot be summed (e.g. ratios percentages averages),DATA,BI,Concept,Advanced
Bus Matrix,Planning tool mapping business processes to conformed dimensions,DATA,BI,Concept,Advanced
Late-Arriving Fact,Fact record arriving after dimension context already loaded,DATA,BI,Concept,Advanced
Late-Arriving Dimension,Dimension member arriving after facts referencing it,DATA,BI,Concept,Advanced
Factless Fact Table,Fact table recording events without numeric measures (coverage or events),DATA,BI,Pattern,Advanced
Accumulating Snapshot,Fact table tracking lifecycle of process with multiple date columns,DATA,BI,Pattern,Advanced
Periodic Snapshot,Fact table capturing state at regular intervals (daily weekly monthly),DATA,BI,Pattern,Advanced
Transaction Fact Table,Fact table recording individual business events at atomic grain,DATA,BI,Pattern,Advanced
Kimball Methodology,Bottom-up dimensional modeling approach using conformed dimensions,DATA,BI,Framework,Advanced
Inmon Methodology,Top-down enterprise data warehouse approach with normalized model,DATA,BI,Framework,Advanced
Data Vault 2.0,Hybrid modeling methodology with Hubs Links and Satellites for agility,DATA,Architecture,Framework,Advanced
Data Governance,Framework of policies processes and standards for managing data assets,DATA,Governance,Practice,Core
Data Owner,Business stakeholder accountable for data quality and usage within a domain,DATA,Governance,Role,Core
Data Classification,Categorizing data by sensitivity level (public internal confidential restricted),DATA,Governance,Practice,Core
Data Policy,Formal rules governing data collection storage access and usage,DATA,Governance,Concept,Core
Data Dictionary,Repository defining data elements attributes and relationships,DATA,Governance,Concept,Core
Business Glossary,Standardized definitions of business terms ensuring consistent understanding,DATA,Governance,Concept,Core
Data Retention,Policies defining how long data must be kept before archival or deletion,DATA,Governance,Practice,Core
Data Sovereignty,Legal requirement that data is subject to laws of country where collected/stored,DATA,Governance,Concept,Advanced
DAMA-DMBOK,Data Management Body of Knowledge; industry standard data management framework,DATA,Governance,Framework,Advanced
Referential Integrity,Constraint ensuring foreign key values match existing primary keys,DATA,Quality,Concept,Core
Entity Integrity,Constraint ensuring primary keys are unique and not null,DATA,Quality,Concept,Core
Domain Integrity,Constraint ensuring column values fall within defined valid ranges,DATA,Quality,Concept,Core
Data Reconciliation,Process of verifying data consistency between source and target systems,DATA,Quality,Practice,Advanced
Completeness,Data quality dimension measuring presence of required values,DATA,Quality,Metric,Core
Consistency,Data quality dimension measuring uniformity across systems and time,DATA,Quality,Metric,Core
Accuracy,Data quality dimension measuring correctness of data values,DATA,Quality,Metric,Core
Timeliness,Data quality dimension measuring data availability when needed,DATA,Quality,Metric,Core
Normalization,Database design process eliminating redundancy (1NF 2NF 3NF BCNF),DATA,Architecture,Practice,Core
Denormalization,Intentionally adding redundancy to improve query performance,DATA,Architecture,Practice,Core
Primary Key,Column(s) uniquely identifying each row in a table,DATA,Architecture,Concept,Core
Foreign Key,Column referencing primary key in another table; enforces relationships,DATA,Architecture,Concept,Core
Stored Procedure,Precompiled SQL code stored in database for reuse,DATA,Platform,Technology,Core
Subquery,Query nested inside another SQL statement (SELECT FROM WHERE),DATA,Platform,Concept,Core
View,Virtual table defined by SQL query; simplifies access to underlying data,DATA,Platform,Concept,Core
Window Function (SQL),SQL function over partition of rows (OVER clause); ROW_NUMBER RANK running sum,DATA,Platform,Concept,Core
Action (Spark),Operation that returns result or writes data; triggers execution of transformations,DATA,Processing,Concept,Core-N
Apache Spark,Distributed computing framework for large-scale data processing and analytics,DATA,Platform,Technology,Core-N
DataFrame (Spark),Distributed collection of rows with named columns; built on Spark RDD,DATA,Platform,Concept,Core-N
CTE (Common Table Expression),Named temporary result set in SQL (WITH clause); improves readability and reuse,DATA,Platform,Concept,Core
DDL (Data Definition Language),SQL statements defining schema (CREATE ALTER DROP tables indexes),DATA,Platform,Concept,Core
DML (Data Manipulation Language),SQL statements manipulating data (SELECT INSERT UPDATE DELETE),DATA,Platform,Concept,Core
GROUP BY,SQL clause grouping rows for aggregation (SUM AVG COUNT MIN MAX),DATA,Platform,Concept,Core
HAVING,SQL clause filtering on aggregated groups (applied after GROUP BY),DATA,Platform,Concept,Core
JOIN (SQL),SQL operation combining rows from two or more tables by related column,DATA,Platform,Concept,Core
Lazy Evaluation,Deferring computation until result is needed; used in Spark and functional code,DATA,Processing,Concept,Core
PySpark,Python API for Apache Spark; distributed data processing in Python,DATA,Platform,Technology,Core-N
RDD (Resilient Distributed Data),Spark immutable distributed collection; low-level parallel abstraction,DATA,Platform,Concept,Core-N
SparkSession,Entry point for Spark/PySpark applications; creates DataFrames and runs jobs,DATA,Platform,Concept,Core-N
SQL (Structured Query Language),Language for managing and querying relational databases,DATA,Platform,Technology,Core
Transformation (Spark),Spark operation that builds a lineage (e.g. map filter); lazy until action,DATA,Processing,Concept,Core-N
Materialized View,View with cached results; refreshed periodically for performance,DATA,Platform,Technology,Advanced
MERGE (SQL),SQL operation combining INSERT UPDATE DELETE in single statement (upsert),DATA,Platform,Concept,Advanced
Deadlock,Circular dependency where transactions wait indefinitely for each other,DATA,Platform,Concept,Advanced
Database Lock,Mechanism preventing concurrent access conflicts to data,DATA,Platform,Concept,Advanced
Concurrency Control,Managing simultaneous database operations to maintain consistency,DATA,Platform,Practice,Advanced
Database Replication,Copying data across multiple database instances for availability,DATA,Platform,Technology,Advanced
RDBMS (Relational DBMS),System for managing relational databases (tables and SQL),DATA,Platform,Concept,Core
Sharding,Horizontal partitioning of data across multiple database instances,DATA,Architecture,Pattern,Advanced
Connection Pool,Cache of database connections reused to reduce connection overhead,DATA,Platform,Technology,Advanced
Execution Plan,Database optimizer output showing how query will be processed,DATA,Platform,Concept,Core
Trigger,Database procedure automatically executed on data changes (INSERT UPDATE DELETE),DATA,Platform,Technology,Advanced
MOLAP (Multidimensional OLAP),OLAP storing data in optimized multidimensional cube structures,DATA,BI,Technology,Advanced-N
ROLAP (Relational OLAP),OLAP querying data directly from relational database,DATA,BI,Technology,Advanced-N
HOLAP (Hybrid OLAP),OLAP combining MOLAP aggregates with ROLAP detail data,DATA,BI,Technology,Advanced-N
Databricks SQL,Databricks interface for SQL analytics on lakehouse data,DATA,Platform,Technology,Core-N
Databricks Runtime,Databricks compute environment with Spark and optimizations,DATA,Platform,Technology,Core-N
Notebook,Interactive document combining code markdown and visualizations,DATA,Platform,Technology,Core
Cluster,Group of compute nodes for distributed data processing,DATA,Platform,Technology,Core
Job,Scheduled or triggered execution of notebooks or pipelines,DATA,Platform,Concept,Core
DBFS (Databricks File System),Distributed file system abstraction in Databricks workspace,DATA,Platform,Technology,Core-N
MLflow,Open-source platform for ML lifecycle management (tracking registry deployment),DATA,Platform,Technology,Core-N
Delta Sharing,Open protocol for secure cross-organization data sharing,DATA,Platform,Technology,Core-N
Autoloader,Databricks feature for incremental file ingestion from cloud storage,DATA,Platform,Technology,Core-N
Z-Ordering,Delta Lake optimization co-locating related data for faster queries,DATA,Platform,Technology,Advanced-N
Liquid Clustering,Delta Lake dynamic clustering adapting to query patterns automatically,DATA,Platform,Technology,Advanced-N
Time Travel,Delta Lake ability to query previous versions of data,DATA,Platform,Technology,Core-N
dbt (data build tool),Analytics engineering tool for SQL-based data transformations,DATA,Platform,Technology,Core-N
Analytics Engineer,Role bridging data engineering and analytics; owns transformation layer,DATA,Platform,Role,Core
Metrics Layer,Centralized definitions of business metrics ensuring consistent calculations,DATA,BI,Concept,Core
Reverse ETL,Syncing data from warehouse back to operational systems (CRM marketing),DATA,Processing,Practice,Core
Data Testing,Automated validation of data quality expectations in pipelines,DATA,Quality,Practice,Core
Materialization,Strategy for persisting transformation results (table view incremental ephemeral),DATA,Processing,Concept,Advanced-N
Power Query,ETL engine in Power BI using M language for data transformation,DATA,BI,Technology,Core-N
M Language,Functional language for data transformation in Power Query,DATA,BI,Technology,Advanced-N
Dataflow,Power BI/Fabric reusable ETL component preparing data for multiple datasets,DATA,Platform,Technology,Advanced-N
Power BI Gateway,Bridge connecting Power BI cloud service to on-premises data sources,DATA,Platform,Technology,Advanced-N
Power BI Workspace,Collaboration container for reports dashboards and datasets in Power BI,DATA,Platform,Concept,Advanced-N
Power BI App,Packaged collection of dashboards and reports distributed to users,DATA,BI,Concept,Advanced-N
Report,Interactive visualization canvas with multiple visuals on pages,DATA,BI,Concept,Core
Dashboard,Single-page canvas with pinned tiles from multiple reports,DATA,BI,Concept,Core
Visual,Individual chart graph or data representation component,DATA,BI,Concept,Core
Slicer,Interactive filter control for report consumers,DATA,BI,Concept,Core
Bookmark,Saved state of report including filters selections and visual states,DATA,BI,Concept,Core
Drillthrough,Navigation from summary visual to detailed page with context preserved,DATA,BI,Concept,Core
Cross-filter,Interaction where selecting data in one visual filters other visuals,DATA,BI,Concept,Core
Bi-directional Filtering,Relationship filtering flowing in both directions between tables,DATA,BI,Concept,Core-N
Active Relationship,Default relationship used for DAX calculations between tables,DATA,BI,Concept,Core-N
Inactive Relationship,Secondary relationship activated explicitly with USERELATIONSHIP,DATA,BI,Concept,Advanced-N
CALCULATE,Core DAX function modifying filter context for measure calculations,DATA,BI,Technology,Core-N
Iterator Functions,DAX functions (SUMX AVERAGEX) evaluating row-by-row then aggregating,DATA,BI,Concept,Core-N
Time Intelligence,DAX patterns for period-over-period YTD MTD comparisons,DATA,BI,Concept,Core-N
Paginated Report,Pixel-perfect formatted report optimized for printing and export,DATA,BI,Technology,Advanced-N
Q&A (Power BI),Natural language query feature for asking questions about data,DATA,BI,Technology,Advanced-N
Publish,Deploying Power BI content from Desktop to cloud service,DATA,BI,Process,Core
Embed,Integrating Power BI visuals into external applications or portals,DATA,BI,Technology,Advanced-N
Report Theme,JSON file defining consistent colors fonts and formatting for reports,DATA,BI,Concept,Advanced-N
Conditional Formatting,Dynamic formatting rules based on data values or expressions,DATA,BI,Concept,Advanced-N
OLS (Object-Level Security),Restricting access to specific tables or columns in semantic model,SECURITY,Access,Technology,Advanced-N
Deployment Pipeline,Power BI feature for promoting content through dev test prod stages,DATA,BI,Technology,Advanced-N
Incremental Refresh,Power BI feature refreshing only new/changed data partitions,DATA,BI,Technology,Advanced-N
Aggregations (Power BI),Pre-computed summaries enabling fast queries over large DirectQuery tables,DATA,BI,Technology,Advanced-N
Datamart (Power BI),Self-service relational database with auto-generated semantic model,DATA,Platform,Technology,Advanced-N
XMLA Endpoint,Protocol enabling third-party tools to connect to Power BI datasets,DATA,BI,Technology,Advanced-N
ALM Toolkit,Tool for comparing and deploying Power BI/SSAS model changes,DATA,BI,Technology,Advanced-N
Tabular Editor,External tool for advanced Power BI/SSAS model development,DATA,BI,Technology,Advanced-N
Best Practice Analyzer,Rules engine identifying model optimization opportunities,DATA,BI,Technology,Advanced-N
DAX Studio,Tool for executing and analyzing DAX queries against semantic models,DATA,BI,Technology,Advanced-N
Azure Event Hubs,Managed big data streaming platform for high-throughput event ingestion,DATA,Streaming,Technology,Core-N
Azure Event Grid,Event routing service for reactive event-driven architectures,DATA,Streaming,Technology,Advanced-N
Azure Stream Analytics,Real-time analytics service using SQL-like queries on streaming data,DATA,Streaming,Technology,Advanced-N
Azure Service Bus,Enterprise message broker with queues and publish-subscribe topics,DATA,Streaming,Technology,Core-N
Azure IoT Hub,Managed service for bi-directional IoT device communication,DATA,Streaming,Technology,Advanced-N
Apache Kafka,Distributed event streaming platform for high-throughput pipelines,DATA,Streaming,Technology,Core
Kafka Connect,Framework for connecting Kafka with external systems (sources sinks),DATA,Streaming,Technology,Advanced-N
Event Hub Partition,Ordered sequence of events enabling parallel consumption,DATA,Streaming,Concept,Core
Consumer Group,Named view of event stream enabling independent reader progress,DATA,Streaming,Concept,Core
Offset,Position marker in event stream tracking consumption progress,DATA,Streaming,Concept,Core
Checkpoint (Streaming),Saved state of streaming query enabling fault-tolerant recovery,DATA,Streaming,Concept,Core
Microbatch,Small batch processing approach simulating continuous streaming,DATA,Streaming,Concept,Advanced
Continuous Processing,True record-by-record streaming with sub-millisecond latency,DATA,Streaming,Concept,Advanced
Trigger Interval,Frequency at which streaming query checks for new data,DATA,Streaming,Concept,Advanced
Late Data Handling,Strategies for processing events arriving after their event time,DATA,Streaming,Practice,Advanced
Event Time,Timestamp when event actually occurred at source,DATA,Streaming,Concept,Core
Processing Time,Timestamp when event is processed by streaming system,DATA,Streaming,Concept,Core
Ingestion Time,Timestamp when event arrives at streaming platform,DATA,Streaming,Concept,Advanced
Tumbling Window,Fixed-size non-overlapping time windows for aggregation,DATA,Streaming,Pattern,Core
Hopping Window,Fixed-size overlapping time windows advancing by hop interval,DATA,Streaming,Pattern,Advanced
Sliding Window (Streaming),Window triggered by events within specified duration,DATA,Streaming,Pattern,Advanced
Session Window,Dynamic window grouping events by activity with gap timeout,DATA,Streaming,Pattern,Advanced
Windowing,Grouping streaming data into finite time-based buckets for processing,DATA,Streaming,Concept,Core
Throughput Unit,Capacity unit for Azure Event Hubs scaling (1 TU = 1 MB/s in),DATA,Streaming,Concept,Advanced
Event Hubs Capture,Automatic streaming data archival to Azure Storage or Data Lake,DATA,Streaming,Technology,Advanced-N
Schema Registry,Centralized repository for event schemas ensuring compatibility,DATA,Streaming,Technology,Advanced-N
Avro,Row-based binary serialization format common in streaming systems,DATA,Streaming,Technology,Advanced
Spark Streaming,Databricks/Spark engine for processing live data streams,DATA,Streaming,Technology,Advanced-N
ReadStream,Spark API for reading streaming data sources,DATA,Streaming,Technology,Advanced-N
WriteStream,Spark API for writing streaming query results to sinks,DATA,Streaming,Technology,Advanced-N
Foreachbatch,Spark streaming output mode processing microbatch as DataFrame,DATA,Streaming,Pattern,Advanced
Trigger.AvailableNow,Spark trigger processing all available data then stopping,DATA,Streaming,Technology,Advanced-N
Trigger.Once,Spark trigger processing one microbatch then stopping,DATA,Streaming,Technology,Advanced-N
Eventstream,Fabric feature for capturing routing and transforming real-time events,DATA,Streaming,Technology,Core-N
KQL (Kusto Query Language),Query language for Azure Data Explorer and Fabric Real-Time Intelligence,DATA,Streaming,Technology,Core-N
KQL Database,Fabric database optimized for real-time analytics using KQL,DATA,Streaming,Technology,Advanced-N
KQL Queryset,Saved KQL queries for reuse in Fabric Real-Time Intelligence,DATA,Streaming,Concept,Core-N
Eventhouse,Fabric workspace for real-time data storage and analytics,DATA,Streaming,Technology,Core-N
Real-Time Dashboard (Fabric),Fabric dashboard with automatic refresh for live data visualization,DATA,Streaming,Technology,Core-N
Data Activator,Fabric feature triggering actions based on data conditions (alerts workflows),DATA,Streaming,Technology,Core-N
Reflex,Data Activator rule defining trigger conditions and actions,DATA,Streaming,Concept,Core-N
Eventstream Source,Input connector bringing data into Fabric Eventstream,DATA,Streaming,Concept,Core-N
Eventstream Destination,Output target for processed Eventstream data,DATA,Streaming,Concept,Core-N
No-Code Transformation,Eventstream visual transformations without writing code,DATA,Streaming,Technology,Core-N
Push Dataset,Power BI dataset receiving data via REST API for real-time updates,DATA,Streaming,Technology,Advanced-N
Streaming Dataset,Power BI dataset with real-time tile updates no historical storage,DATA,Streaming,Technology,Advanced-N
Hybrid Dataset,Power BI dataset combining push streaming with historical storage,DATA,Streaming,Technology,Advanced-N
Automatic Page Refresh,Power BI feature refreshing report page at set intervals,DATA,Streaming,Technology,Advanced-N
Change Detection,Power BI refresh triggered only when source data changes,DATA,Streaming,Technology,Advanced-N
Real-Time Dashboard (Power BI),Dashboard with streaming tiles updating automatically,DATA,Streaming,Concept,Advanced-N
Live Connection,Power BI connection to SSAS or Power BI dataset without local model,DATA,BI,Technology,Advanced-N
Azure Functions,Serverless compute triggered by events for real-time processing,DATA,Streaming,Technology,Core-N
Logic Apps,Workflow automation triggered by events across services,DATA,Streaming,Technology,Core-N
Durable Functions,Stateful serverless functions for complex event-driven workflows,DATA,Streaming,Technology,Advanced-N
Event-Driven Trigger,Automation initiated by data events rather than schedules,DATA,Streaming,Concept,Core
Hot Path,Real-time processing route for immediate insights and actions,DATA,Streaming,Concept,Advanced
Cold Path,Batch processing route for historical analysis and deep analytics,DATA,Streaming,Concept,Advanced
Warm Path,Near-real-time processing balancing latency and complexity,DATA,Streaming,Concept,Advanced
Kappa Architecture,Streaming-only architecture eliminating batch layer complexity,DATA,Streaming,Pattern,Advanced
Semantic Link,Fabric feature connecting data science notebooks to semantic models,DATA,Platform,Technology,Advanced-N
Direct Lake Fallback,Automatic switch to DirectQuery when Direct Lake limits exceeded,DATA,BI,Concept,Advanced-N
Lakehouse Table Streaming,Writing streaming data directly to Fabric lakehouse tables,DATA,Streaming,Practice,Advanced-N
Delta Streaming,Reading and writing Delta tables as streaming sources and sinks,DATA,Streaming,Technology,Advanced-N
Merge Into,Delta Lake operation for upserts in streaming scenarios,DATA,Streaming,Technology,Advanced-N
Streaming Deduplication,Removing duplicate events in real-time using watermarks,DATA,Streaming,Practice,Advanced
Stateful Streaming,Stream processing maintaining state across events (aggregations joins),DATA,Streaming,Concept,Advanced
Stateless Streaming,Stream processing with no cross-event state (simple transformations),DATA,Streaming,Concept,Advanced
Exactly-Once Semantics,Guarantee that each event is processed exactly once end-to-end,DATA,Streaming,Concept,Advanced
At-Most-Once Semantics,Events may be lost but never processed more than once,DATA,Streaming,Concept,Advanced
Stream-Table Join,Joining streaming data with static reference/dimension tables,DATA,Streaming,Pattern,Advanced
Stream-Stream Join,Joining two streams based on time windows and keys,DATA,Streaming,Pattern,Advanced
GDPR,EU regulation on data protection and privacy for EU residents,SECURITY,Compliance,Framework,Core
Privacy Impact Assessment (PIA),Systematic process to evaluate privacy risks of a project or system,SECURITY,Compliance,Process,Advanced
ISO 27001,International standard for information security management systems (ISMS),SECURITY,Compliance,Framework,Core
ISO 27701,Privacy information management system extension to ISO 27001,SECURITY,Compliance,Framework,Advanced
ISO 31000,International standard for risk management principles and guidelines,SECURITY,Compliance,Framework,Advanced
ISO 8000,International standard for data quality management,DATA,Governance,Framework,Core
ISO 25012,Data quality model defining 15 quality characteristics,DATA,Governance,Framework,Core
NIST CSF,Cybersecurity Framework providing standards guidelines and best practices,SECURITY,Compliance,Framework,Core
NIST SP 800-53,Comprehensive security and privacy controls catalog widely adopted globally,SECURITY,Compliance,Framework,Advanced
COBIT,Framework for IT governance and management of enterprise IT,PM,Project,Framework,Advanced
ITIL 4,IT service management framework for delivering IT services,PM,Project,Framework,Core
TOGAF,Enterprise architecture framework for designing IT systems,SOFTWARE,Architecture,Framework,Advanced
CIS Controls,Prioritized set of actions to protect against cyber attacks,SECURITY,Compliance,Framework,Advanced
OWASP Top 10,Standard awareness document for web application security risks,SECURITY,Testing,Framework,Core
OWASP API Security,Security risks specific to APIs and mitigation strategies,SECURITY,Testing,Framework,Advanced
SOC 2,Service organization control report for security availability processing integrity,SECURITY,Compliance,Framework,Advanced
PCI-DSS,Payment Card Industry Data Security Standard for card data protection,SECURITY,Compliance,Framework,Advanced
CVE (Common Vulnerabilities and Exposures),Standardized identifiers for publicly known security vulnerabilities,SECURITY,Testing,Concept,Core
CWE (Common Weakness Enumeration),Catalog of software and hardware weakness types,SECURITY,Testing,Concept,Advanced
EU AI Act,European regulation establishing rules for AI systems by risk level,AI/ML,Operations,Framework,Advanced
